conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/occupation/3da8ee8c-ab60-4feb-ab5b-3ba31ef9ec1f,conducteur de machines de transformation cuirs et peaux/conductrice de machines de transformation cuirs et peaux,conducteur de machine de tannerie-mégisserie|opératrice en tannerie-mégisserie|conducteur de machines de transformation cuirs et peaux|conductrice de machines de transformation cuirs et peaux|opérateur en tannerie-mégisserie|conducteur de machine de tannerie-mégisserie/conductrice de machine de tannerie-mégisserie|opérateur en tannerie-mégisserie/opératrice en tannerie-mégisserie|conductrice de machine de tannerie-mégisserie
http://data.europa.eu/esco/occupation/3d616092-b4fd-4c14-b0e9-a9119bbbd171,musicothérapeute,
http://data.europa.eu/esco/occupation/3caa57c9-d360-4ce4-8000-34a983666ba7,opérateur de fermentation/opératrice de fermentation,opératrice de fermentation|opératrice au procédé de fermentation|fermenteuse|opérateur au procédé de fermentation|fermenteur|technicienne en fermentation|opérateur de fermentation|technicien en fermentation
http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,technicien informatique/technicienne informatique,technicienne en TIC|technicien en TIC|technicienne informatique|agent technique en technologie de l'information et de la communication|technicien en technologies de l'information et de la communication|technicienne en technologies de l'information et de la communication|agente technique en TIC|agente technique en informatique|agent technique en TIC|technicien informatique|agente technique en technologie de l'information et de la communication|agent technique en informatique
http://data.europa.eu/esco/occupation/3e0b4b9b-b624-4ceb-9bc9-9627cdfb0b81,"opérateur d’assemblage-montage des industries des cuirs, peaux et matériaux associés, hors vêtements/opératrice d’assemblage-montage des industries des cuirs, peaux et matériaux associés, hors vêtements","opératrice d’assemblage-montage des industries des cuirs, peaux et matériaux associés, hors vêtements|opérateur d’assemblage-montage des industries des cuirs, peaux et matériaux associés, hors vêtements|maroquinier industriel|maroquinier industriel/maroquinière industrielle|maroquinière industrielle"
http://data.europa.eu/esco/occupation/3e9c1262-4fe2-4eb1-bf94-4fe64498393a,coach sportif,
http://data.europa.eu/esco/occupation/3d0f86c1-9bdd-4e84-bc62-93a716128c8d,assistant pédagogique/assistante pédagogique,assistant pédagogique|conseillère d’orientation psychologue|conseiller d’orientation-psychologue|auxiliaire de vie scolaire|conseiller d’orientation-psychologue/conseillère d’orientation psychologue|assistante pédagogique
http://data.europa.eu/esco/occupation/3f6fc9db-18c1-45e8-819e-baf7b6cfe372,chef de juridiction,cheffe de juridiction|président de juridiction
http://data.europa.eu/esco/occupation/3d7b36e2-bfb8-4b67-9585-6787c1dda13e,dégustateur de café/dégustatrice de café,experte en café|goûteuse de café|expert en café|dégustatrice de cafés|dégustateur de cafés|dégustatrice de café|dégustateur de café|goûteur de café
http://data.europa.eu/esco/occupation/3e524c3e-3ee8-47dd-8463-2c2a41b548bf,monteur de fabrication de matériels électriques/monteuse de fabrication de matériels électriques,monteuse assembleuse en fabrication de matériels électriques|agent de production de matériels électriques/agente de production de matériels électriques|agent de production de matériels électriques|monteuse de fabrication de matériels électriques|monteur assembleur en fabrication de matériels électriques/monteuse assembleuse en fabrication de matériels électriques|monteur de fabrication de matériels électriques|monteur assembleur en fabrication de matériels électriques|agente de production de matériels électriques
