conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/skill/032a4ab8-1034-4541-8037-b2cdcc7fd19a,sélectionner de la musique pour un spectacle,
http://data.europa.eu/esco/skill/032b0bed-22b1-456b-8009-91e6b838fe45,cartographie géologique,
http://data.europa.eu/esco/skill/0337c577-f837-4518-9263-b753c24f3a21,conduire une voiture automatique,
http://data.europa.eu/esco/skill/033d6175-fa43-4d75-8e2c-6df348ffa0c8,préparer des perfusions,
http://data.europa.eu/esco/skill/03459358-3f0f-4b13-a143-890e2da798d3,configurer des équipements électroniques,
http://data.europa.eu/esco/skill/038a6d0f-787f-4f71-aac6-bd54e16c57cf,histoire du tabac,
http://data.europa.eu/esco/skill/03cf7836-708c-4d43-94ed-3d8beb170655,appliquer des électrolytes sur des cathodes et des anodes,
http://data.europa.eu/esco/skill/03d93b02-a461-4815-a4c0-b46451afc1c2,gérer des demandes d’indemnisation,
http://data.europa.eu/esco/skill/043f3cba-7827-4a1f-9a87-7775ca01ec9d,manipuler du matériel dentaire,
http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,sauver des animaux,
http://data.europa.eu/esco/skill/035afc40-e8fc-448f-b287-1a973fb5aa93,fabrication de robinets et de vannes,
http://data.europa.eu/esco/skill/03d988af-2e63-4151-bb5e-950f366e2c64,guider les navires dans les quais,
http://data.europa.eu/esco/skill/0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,goûter des vins,
http://data.europa.eu/esco/skill/0377c027-2839-4b30-9acb-bb68daf925f5,entretenir des pièces de coquilles,
http://data.europa.eu/esco/skill/03bc5f23-4317-41c2-9528-2db5c3c87b85,analyser des tendances culturelles,
http://data.europa.eu/esco/skill/043f1a88-7faa-4d56-b220-5428741c6a75,contrôler le départ des trains,
http://data.europa.eu/esco/skill/03598f35-15f1-41fa-bd8a-313e74523307,utiliser des équipements de joaillerie,
http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,trouver des solutions aux problèmes,
http://data.europa.eu/esco/skill/03af6b34-0137-4337-8a7f-521dbef4925f,brosser de la colle au caoutchouc,
http://data.europa.eu/esco/skill/03d8e93a-861a-45d3-a2d6-80781d6af1c9,techniques de coupe de cheveux,
http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,structure de l’information,
http://data.europa.eu/esco/skill/03ca6934-62ac-42e8-aca0-9e7c10bb1684,comprendre l’architecture d’une représentation en direct,
http://data.europa.eu/esco/skill/03b9453e-d14d-46bc-baf5-f6a6fbaa3bb7,créer une collection d’articles en cuir,
http://data.europa.eu/esco/skill/037c8da7-6a0d-42b8-b979-c4abe7c92d48,programmer l’entretien des systèmes électriques d’un aéroport,
http://data.europa.eu/esco/skill/04383349-705d-4da7-ae05-12b8c84d6bf1,interagir avec le responsable de la programmation sur l’intention de mener un travail de consultation,
http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,décharger une cargaison,
http://data.europa.eu/esco/skill/043c477b-71f6-43e9-8927-ca854fc55252,communiquer le règlement intérieur,
http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,gérer la classification des données sur les TIC,
http://data.europa.eu/esco/skill/03aa85d2-9a67-455f-b901-595e685afdd2,tenir des registres de feuilles,
http://data.europa.eu/esco/skill/03589d0d-a6f0-4d68-b5eb-dafbc6833efe,rédiger des prospectus,
http://data.europa.eu/esco/skill/0361c099-da6c-404e-984b-a8b8a0c017d1,contrôler les paramètres sensoriels d’huiles et de matières grasses,
http://data.europa.eu/esco/skill/03520ff5-9e68-434b-91fa-3ced9c085159,planifier l’espace commercial,planifier la surface de vente
http://data.europa.eu/esco/skill/03f922b0-d518-457d-8f2c-80252a714be1,criminologie,
http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8,mener à bien la gestion d’événements,
http://data.europa.eu/esco/skill/0415142d-6921-4f8d-832b-6271382b8193,tester des matériaux,
http://data.europa.eu/esco/skill/041977c2-0a83-4e9d-adb0-f984bcedba82,mettre à jour l’affichage des messages,
http://data.europa.eu/esco/skill/0435fe96-523f-4888-a76f-22df1e92d9c4,photogrammétrie,
http://data.europa.eu/esco/skill/042e1e68-b190-47c0-8f0d-ff312fc25b71,exploiter l’avant-cour d’une station-service,
